program_number,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_10,race_11
0,0,0,0,0,0,0,0,0,0,3,0
1,10,1,4,4,8,9,8,3,0,5,2
2,4,9,2,2,0,1,0,0,8,6,7
3,3,4,6,3,4,6,8,0,7,0,0
4,5,4,4,2,4,1,11,4,8,0,0
5,0,5,3,13,1,7,6,10,0,0,1
6,7,5,9,10,3,7,0,8,3,7,6
7,8,4,3,3,3,6,4,3,4,5,1
8,0,4,6,0,0,0,0,2,3,8,4
9,0,0,0,0,0,0,0,7,4,0,1
10,0,1,0,0,2,0,0,0,0,3,4
11,0,0,0,0,7,0,0,0,0,0,6
12,0,0,0,0,5,0,0,0,0,0,5
