program_number,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_10,race_11
1,14,0,8,2,13,11,13,4,2,5,5
2,1,15,0,4,3,1,0,0,11,3,5
3,1,5,5,3,3,9,12,1,14,0,0
4,6,2,8,6,6,7,15,7,5,0,0
5,0,6,6,11,0,6,4,12,1,0,2
6,11,9,12,17,3,9,2,8,4,17,10
7,17,6,2,7,1,7,4,8,4,11,4
8,0,2,9,0,1,0,0,4,2,11,5
9,0,0,0,0,1,0,0,6,7,0,4
10,0,5,0,0,2,0,0,0,0,3,2
11,0,0,0,0,8,0,0,0,0,0,4
12,0,0,0,0,9,0,0,0,0,0,9
