program_number,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_10,race_11
1,5,0,2,2,2,6,4,0,1,1,1
2,1,3,1,1,0,1,0,0,1,3,3
3,2,2,1,0,2,4,2,1,2,0,0
4,2,3,3,3,4,2,5,4,5,0,0
5,0,4,1,6,0,2,3,1,1,0,0
6,4,2,5,3,0,2,2,3,1,5,2
7,3,0,0,2,1,0,1,4,0,2,1
8,0,0,4,0,1,0,0,3,3,5,0
9,0,0,0,0,2,0,0,1,3,0,3
10,0,3,0,0,0,0,0,0,0,1,3
11,0,0,0,0,3,0,0,0,0,0,2
12,0,0,0,0,2,0,0,0,0,0,2
