program_number,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_10,race_11
1,14,2,7,8,8,9,16,4,3,3,7
2,0,12,2,6,2,0,0,0,10,11,7
3,4,3,5,3,4,7,10,0,5,0,0
4,5,5,11,3,5,7,13,8,11,0,0
5,0,5,3,6,0,12,7,8,3,1,1
6,11,6,13,13,1,7,0,11,1,7,4
7,14,3,1,9,1,6,2,4,3,13,2
8,0,5,6,0,1,0,0,2,2,6,6
9,0,0,0,0,2,0,0,10,10,0,3
10,0,7,0,0,4,0,0,1,0,7,4
11,0,0,0,0,13,0,0,0,0,0,10
12,0,0,0,0,7,0,0,0,0,0,4
