,contest,date,website,contest_code,player_name,entry,rank,earnings,selection_number,track_name,race_number,program_number,horse_name,win,place,show
0,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jay Johns,1,1,36.0,1,Parx Racing,1,1,Aztec Queen,0.0,3.4,3.4
1,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jay Johns,1,1,36.0,2,Parx Racing,2,10,Dadashev,0.0,5.8,5.8
2,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jay Johns,1,1,36.0,3,Parx Racing,3,3,Recluse,18.8,8.0,26.8
3,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jay Johns,1,1,36.0,4,Parx Racing,4,5,Inspector Reload,0.0,0.0,0.0
4,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jay Johns,1,1,36.0,5,Parx Racing,5,1,Cash On First,0.0,0.0,0.0
5,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jay Johns,1,1,36.0,6,Parx Racing,6,2,Dial a Lady,0.0,0.0,0.0
6,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jay Johns,1,1,36.0,7,Parx Racing,7,1,Social Group,0.0,0.0,0.0
7,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jay Johns,1,1,36.0,8,Parx Racing,8,6,Satchel de Ritches,0.0,0.0,0.0
8,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jay Johns,1,1,36.0,9,Parx Racing,9,4,Bonita Lassie,0.0,0.0,0.0
9,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jay Johns,1,1,36.0,10,Parx Racing,10,2,Our Uptown Girl,0.0,0.0,0.0
10,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jay Johns,1,1,36.0,11,Parx Racing,11,10,Singinthruthestorm,0.0,0.0,0.0
11,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Charley Witt,1,2,30.2,1,Parx Racing,1,1,Aztec Queen,0.0,3.4,3.4
12,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Charley Witt,1,2,30.2,2,Parx Racing,2,3,Two Color Map,0.0,0.0,0.0
13,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Charley Witt,1,2,30.2,3,Parx Racing,3,3,Recluse,18.8,8.0,26.8
14,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Charley Witt,1,2,30.2,4,Parx Racing,4,3,Imagism,0.0,0.0,0.0
15,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Charley Witt,1,2,30.2,5,Parx Racing,5,6,Princess Emma Jo,0.0,0.0,0.0
16,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Charley Witt,1,2,30.2,6,Parx Racing,6,6,Spirit Or Spite,0.0,0.0,0.0
17,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Charley Witt,1,2,30.2,7,Parx Racing,7,5,Big Beautiful Wall,0.0,0.0,0.0
18,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Charley Witt,1,2,30.2,8,Parx Racing,8,9,Captain Chazz,0.0,0.0,0.0
19,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Charley Witt,1,2,30.2,9,Parx Racing,9,6,Luli's Dancer,0.0,0.0,0.0
20,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Charley Witt,1,2,30.2,10,Parx Racing,10,2,Our Uptown Girl,0.0,0.0,0.0
21,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Charley Witt,1,2,30.2,11,Parx Racing,11,6,Tempestuous,0.0,0.0,0.0
22,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,ciaran thornton,1,3,30.2,1,Parx Racing,1,1,Aztec Queen,0.0,3.4,3.4
23,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,ciaran thornton,1,3,30.2,2,Parx Racing,2,2,Bar On the Beach,0.0,0.0,0.0
24,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,ciaran thornton,1,3,30.2,3,Parx Racing,3,3,Recluse,18.8,8.0,26.8
25,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,ciaran thornton,1,3,30.2,4,Parx Racing,4,5,Inspector Reload,0.0,0.0,0.0
26,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,ciaran thornton,1,3,30.2,5,Parx Racing,5,1,Cash On First,0.0,0.0,0.0
27,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,ciaran thornton,1,3,30.2,6,Parx Racing,6,1,Call Me Jelly Roll,0.0,0.0,0.0
28,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,ciaran thornton,1,3,30.2,7,Parx Racing,7,1,Social Group,0.0,0.0,0.0
29,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,ciaran thornton,1,3,30.2,8,Parx Racing,8,5,Hard West,0.0,0.0,0.0
30,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,ciaran thornton,1,3,30.2,9,Parx Racing,9,4,Bonita Lassie,0.0,0.0,0.0
31,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,ciaran thornton,1,3,30.2,10,Parx Racing,10,2,Our Uptown Girl,0.0,0.0,0.0
32,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,ciaran thornton,1,3,30.2,11,Parx Racing,11,8,Commissioner Dave,0.0,0.0,0.0
33,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Anthony Spinazzola,1,4,26.8,1,Parx Racing,1,4,Sirenetta,0.0,0.0,0.0
34,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Anthony Spinazzola,1,4,26.8,2,Parx Racing,2,8,Wegottaguy,0.0,0.0,0.0
35,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Anthony Spinazzola,1,4,26.8,3,Parx Racing,3,3,Recluse,18.8,8.0,26.8
36,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Anthony Spinazzola,1,4,26.8,4,Parx Racing,4,6,Be Like Beth,0.0,0.0,0.0
37,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Anthony Spinazzola,1,4,26.8,5,Parx Racing,5,1,Cash On First,0.0,0.0,0.0
38,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Anthony Spinazzola,1,4,26.8,6,Parx Racing,6,3,Wicked Jane,0.0,0.0,0.0
39,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Anthony Spinazzola,1,4,26.8,7,Parx Racing,7,3,It's Game Time,0.0,0.0,0.0
40,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Anthony Spinazzola,1,4,26.8,8,Parx Racing,8,4,Federal Case,0.0,0.0,0.0
41,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Anthony Spinazzola,1,4,26.8,9,Parx Racing,9,2,Dilly Dilly Philly,0.0,0.0,0.0
42,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Anthony Spinazzola,1,4,26.8,10,Parx Racing,10,7,Offaly Fast,0.0,0.0,0.0
43,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Anthony Spinazzola,1,4,26.8,11,Parx Racing,11,10,Singinthruthestorm,0.0,0.0,0.0
44,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jon Van Niel,1,5,26.8,1,Parx Racing,1,7,Theycallmelee,0.0,0.0,0.0
45,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,GT Nixon,1,5,26.8,1,Parx Racing,1,7,Theycallmelee,0.0,0.0,0.0
46,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,GT Nixon,1,5,26.8,2,Parx Racing,2,2,Bar On the Beach,0.0,0.0,0.0
47,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jon Van Niel,1,5,26.8,2,Parx Racing,2,2,Bar On the Beach,0.0,0.0,0.0
48,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jon Van Niel,1,5,26.8,3,Parx Racing,3,3,Recluse,18.8,8.0,26.8
49,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,GT Nixon,1,5,26.8,3,Parx Racing,3,3,Recluse,18.8,8.0,26.8
50,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,GT Nixon,1,5,26.8,4,Parx Racing,4,6,Be Like Beth,0.0,0.0,0.0
51,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jon Van Niel,1,5,26.8,4,Parx Racing,4,2,Vanishing Faith,0.0,0.0,0.0
52,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jon Van Niel,1,5,26.8,5,Parx Racing,5,11,Rose Legacy,0.0,0.0,0.0
53,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,GT Nixon,1,5,26.8,5,Parx Racing,5,11,Rose Legacy,0.0,0.0,0.0
54,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,GT Nixon,1,5,26.8,6,Parx Racing,6,6,Spirit Or Spite,0.0,0.0,0.0
55,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jon Van Niel,1,5,26.8,6,Parx Racing,6,5,Fed Policy,0.0,0.0,0.0
56,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jon Van Niel,1,5,26.8,7,Parx Racing,7,4,French Toast,0.0,0.0,0.0
57,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,GT Nixon,1,5,26.8,7,Parx Racing,7,4,French Toast,0.0,0.0,0.0
58,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jon Van Niel,1,5,26.8,8,Parx Racing,8,5,Hard West,0.0,0.0,0.0
59,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,GT Nixon,1,5,26.8,8,Parx Racing,8,6,Satchel de Ritches,0.0,0.0,0.0
60,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jon Van Niel,1,5,26.8,9,Parx Racing,9,9,Obstinate,0.0,0.0,0.0
61,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,GT Nixon,1,5,26.8,9,Parx Racing,9,2,Dilly Dilly Philly,0.0,0.0,0.0
62,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,GT Nixon,1,5,26.8,10,Parx Racing,10,7,Offaly Fast,0.0,0.0,0.0
63,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jon Van Niel,1,5,26.8,10,Parx Racing,10,1,Jezebel Jade,0.0,0.0,0.0
64,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,GT Nixon,1,5,26.8,11,Parx Racing,11,12,Will Take Control,0.0,0.0,0.0
65,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,Jon Van Niel,1,5,26.8,11,Parx Racing,11,2,Large,0.0,0.0,0.0
66,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,David Browning,1,7,18.6,1,Parx Racing,1,6,Arrogante,6.8,3.0,9.8
67,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,David Browning,1,7,18.6,2,Parx Racing,2,7,Dathoss,5.6,3.2,8.8
68,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,David Browning,1,7,18.6,3,Parx Racing,3,8,Lt's Jacknthebox,0.0,0.0,0.0
69,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,David Browning,1,7,18.6,4,Parx Racing,4,7,Yellow Dress,0.0,0.0,0.0
70,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,David Browning,1,7,18.6,5,Parx Racing,5,4,Another Saucy Six,0.0,0.0,0.0
71,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,David Browning,1,7,18.6,6,Parx Racing,6,4,Show Some Skin,0.0,0.0,0.0
72,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,David Browning,1,7,18.6,7,Parx Racing,7,4,French Toast,0.0,0.0,0.0
73,PARX FULL CARD - HORSESHOE LAS VEGAS (March 9) NHC First Chance/Last Chance QUALIFIER *P&P*,2023-01-16,horsetourneys,1401358,David Browning,1,7,18.6,8,Parx Racing,8,5,Hard West,0.0,0.0,0.0
