,contest,date,website,contest_code,player_name,entry,rank,earnings,selection_number,track_name,race_number,program_number,horse_name,win,place,show
0,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,Gary Machiz,1,1,26.8,1,Parx Racing,1,7,Theycallmelee,0.0,0.0,0.0
1,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,Gary Machiz,1,1,26.8,2,Parx Racing,2,5,Sunsanddrinkinhand,0.0,0.0,0.0
2,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,Gary Machiz,1,1,26.8,3,Parx Racing,3,3,Recluse,18.8,8.0,26.8
3,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,Gary Machiz,1,1,26.8,4,Parx Racing,4,7,Yellow Dress,0.0,0.0,0.0
4,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,Gary Machiz,1,1,26.8,5,Parx Racing,5,11,Rose Legacy,0.0,0.0,0.0
5,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,Gary Machiz,1,1,26.8,6,Parx Racing,6,4,Show Some Skin,0.0,0.0,0.0
6,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,Gary Machiz,1,1,26.8,7,Parx Racing,7,4,French Toast,0.0,0.0,0.0
7,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,Gary Machiz,1,1,26.8,8,Parx Racing,8,9,Captain Chazz,0.0,0.0,0.0
8,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,Gary Machiz,1,1,26.8,9,Parx Racing,9,8,Just Stay Home,0.0,0.0,0.0
9,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,Gary Machiz,1,1,26.8,10,Parx Racing,10,8,Pegasus in Flight,0.0,0.0,0.0
10,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,Gary Machiz,1,1,26.8,11,Parx Racing,11,12,Will Take Control,0.0,0.0,0.0
11,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,John Heiney,1,2,14.6,1,Parx Racing,1,6,Arrogante,6.8,3.0,9.8
12,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,John Heiney,1,2,14.6,2,Parx Racing,2,5,Sunsanddrinkinhand,0.0,0.0,0.0
13,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,John Heiney,1,2,14.6,3,Parx Racing,3,4,Tequilamademedoit,0.0,4.8,4.8
14,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,John Heiney,1,2,14.6,4,Parx Racing,4,5,Inspector Reload,0.0,0.0,0.0
15,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,John Heiney,1,2,14.6,5,Parx Racing,5,11,Rose Legacy,0.0,0.0,0.0
16,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,John Heiney,1,2,14.6,6,Parx Racing,6,3,Wicked Jane,0.0,0.0,0.0
17,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,John Heiney,1,2,14.6,7,Parx Racing,7,5,Big Beautiful Wall,0.0,0.0,0.0
18,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,John Heiney,1,2,14.6,8,Parx Racing,8,7,Golden Spoke,0.0,0.0,0.0
19,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,John Heiney,1,2,14.6,9,Parx Racing,9,3,Positive Power,0.0,0.0,0.0
20,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,John Heiney,1,2,14.6,10,Parx Racing,10,2,Our Uptown Girl,0.0,0.0,0.0
21,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,John Heiney,1,2,14.6,11,Parx Racing,11,1,He'ssosubtle,0.0,0.0,0.0
22,"PARX FULL CARD - $1,000 GUARANTEED (3 entries min.) (No Limit) - PICK & PRAY",2023-01-16,horsetourneys,1401359,Lucas Van Zandt,1,3,9.8,1,Parx Racing,1,6,Arrogante,6.8,3.0,9.8
