,contest,date,website,contest_code,player_name,entry,rank,earnings,selection_number,track_name,race_number,program_number,horse_name,win,place,show
0,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,2,1,64.0,1,Parx Racing,1,1,American Roma,42.0,22.0,64.0
1,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,2,1,64.0,2,Parx Racing,2,7,Petulant Delight,0.0,0.0,0.0
2,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,2,1,64.0,3,Parx Racing,3,7,Beachwalker,0.0,0.0,0.0
3,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,2,1,64.0,4,Parx Racing,4,7,Risen Change,0.0,0.0,0.0
4,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,2,1,64.0,5,Parx Racing,5,6,Mo Ready,0.0,0.0,0.0
5,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,2,1,64.0,6,Parx Racing,6,1,Ifihadachance,0.0,0.0,0.0
6,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,2,1,64.0,7,Parx Racing,7,2,Anna Rocks,0.0,0.0,0.0
7,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,2,1,64.0,8,Parx Racing,8,3,Spikezone,0.0,0.0,0.0
8,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,2,1,64.0,9,Parx Racing,9,2,Cashing Big Checks,0.0,0.0,0.0
9,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,2,1,64.0,10,Parx Racing,10,5,Cartwheel,0.0,0.0,0.0
10,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,2,1,64.0,11,Parx Racing,11,4,Forest Fire,0.0,0.0,0.0
11,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,tom cooper,1,2,7.6,1,Parx Racing,1,7,Grit'n'grind,0.0,7.6,7.6
12,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Aaron Bernstein,1,2,7.6,1,Parx Racing,1,7,Grit'n'grind,0.0,7.6,7.6
13,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Thomas Lannin,1,2,7.6,1,Parx Racing,1,7,Grit'n'grind,0.0,7.6,7.6
14,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Francis Flynn,3,2,7.6,1,Parx Racing,1,7,Grit'n'grind,0.0,7.6,7.6
15,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Robert Adamo,1,2,7.6,1,Parx Racing,1,7,Grit'n'grind,0.0,7.6,7.6
16,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,bob lill,1,2,7.6,1,Parx Racing,1,7,Grit'n'grind,0.0,7.6,7.6
17,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,1,2,7.6,1,Parx Racing,1,7,Grit'n'grind,0.0,7.6,7.6
18,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Daniel Santagato,1,2,7.6,1,Parx Racing,1,7,Grit'n'grind,0.0,7.6,7.6
19,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Fred Meseke,1,2,7.6,1,Parx Racing,1,7,Grit'n'grind,0.0,7.6,7.6
20,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Thomas Lannin,1,2,7.6,2,Parx Racing,2,7,Petulant Delight,0.0,0.0,0.0
21,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Daniel Santagato,1,2,7.6,2,Parx Racing,2,4,Runningforhome,0.0,0.0,0.0
22,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Francis Flynn,3,2,7.6,2,Parx Racing,2,4,Runningforhome,0.0,0.0,0.0
23,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,tom cooper,1,2,7.6,2,Parx Racing,2,4,Runningforhome,0.0,0.0,0.0
24,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Aaron Bernstein,1,2,7.6,2,Parx Racing,2,5,Nine Toe Johnny,0.0,0.0,0.0
25,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Fred Meseke,1,2,7.6,2,Parx Racing,2,1,Pointer,0.0,0.0,0.0
26,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,1,2,7.6,2,Parx Racing,2,4,Runningforhome,0.0,0.0,0.0
27,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,bob lill,1,2,7.6,2,Parx Racing,2,7,Petulant Delight,0.0,0.0,0.0
28,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Robert Adamo,1,2,7.6,2,Parx Racing,2,5,Nine Toe Johnny,0.0,0.0,0.0
29,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,tom cooper,1,2,7.6,3,Parx Racing,3,8,Predominate,0.0,0.0,0.0
30,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,bob lill,1,2,7.6,3,Parx Racing,3,6,Margin of Air,0.0,0.0,0.0
31,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Robert Adamo,1,2,7.6,3,Parx Racing,3,8,Predominate,0.0,0.0,0.0
32,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Francis Flynn,3,2,7.6,3,Parx Racing,3,6,Margin of Air,0.0,0.0,0.0
33,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Thomas Lannin,1,2,7.6,3,Parx Racing,3,4,Liam's Blue Moon,0.0,0.0,0.0
34,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,john grassmyer,1,2,7.6,3,Parx Racing,3,1,Never Change,0.0,0.0,0.0
35,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Daniel Santagato,1,2,7.6,3,Parx Racing,3,1,Never Change,0.0,0.0,0.0
36,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Fred Meseke,1,2,7.6,3,Parx Racing,3,5,Ouch Ouch Ouch,0.0,0.0,0.0
37,PARX FULL CARD - $150 GUARANTEED w/ NO LIMIT *P&P*,2023-01-18,horsetourneys,1402514,Aaron Bernstein,1,2,7.6,3,Parx Racing,3,6,Margin of Air,0.0,0.0,0.0
