program_number,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_10,race_11
1,1,3,4,0,0,7,5,0,3,5,0
2,1,0,2,4,0,6,3,2,6,4,0
3,3,0,1,7,3,4,0,8,0,0,0
4,2,9,2,1,2,3,7,2,2,3,1
5,5,4,2,2,0,1,0,1,0,5,4
6,2,2,3,0,12,1,3,0,3,2,0
7,9,5,6,7,4,1,5,4,3,0,6
8,0,0,3,2,2,0,0,2,4,2,4
9,0,0,0,0,0,0,0,4,2,0,4
10,0,0,0,0,0,0,0,0,0,2,0
12,0,0,0,0,0,0,0,0,0,0,4
